#filename=FloydWarshellOut.txt; MRatio=0.5; WeightMax=100; NumberOfRuns=1
10	0.000
20	0.001
30	0.002
40	0.005
50	0.009
60	0.015
70	0.024
80	0.034
90	0.050
100	0.066
110	0.087
120	0.111
130	0.141
140	0.174
150	0.213
160	0.259
170	0.309
180	0.365
190	0.432
200	0.501
210	0.573
220	0.663
230	0.757
240	0.853
250	0.964
260	1.085
270	1.208
280	1.352
290	1.493
300	1.653
310	1.790
320	1.969
330	2.186
340	2.388
350	2.606
360	2.809
370	3.072
380	3.322
390	3.533
400	3.824
410	4.119
420	4.441
430	4.812
440	5.116
450	5.501
460	5.867
470	6.208
480	6.653
490	7.080
500	7.461
